DayofMonth;Weekday;salary_evaluated
15;Saturday;OrdinaryWeekend
15;Sunday;OrdinaryWeek
16;Monday;OrdinaryWeek
16;Tuesday;OrdinaryWeek
16;Wednesday;OrdinaryWeek
16;Thursday;OrdinaryWeek
16;Friday;OrdinaryWeekend
16;Saturday;OrdinaryWeekend
16;Sunday;OrdinaryWeek
17;Monday;OrdinaryWeek
17;Tuesday;OrdinaryWeek
17;Wednesday;OrdinaryWeek
17;Thursday;OrdinaryWeek
17;Friday;OrdinaryWeekend
17;Saturday;OrdinaryWeekend
17;Sunday;OrdinaryWeek
18;Monday;OrdinaryWeek
18;Tuesday;OrdinaryWeek
18;Wednesday;OrdinaryWeek
18;Thursday;OrdinaryWeek
18;Friday;OrdinaryWeekend
18;Saturday;OrdinaryWeekend
18;Sunday;OrdinaryWeek
19;Monday;OrdinaryWeek
19;Tuesday;OrdinaryWeek
19;Wednesday;OrdinaryWeek
19;Thursday;OrdinaryWeek
19;Friday;OrdinaryWeekend
19;Saturday;OrdinaryWeekend
19;Sunday;OrdinaryWeek
20;Monday;OrdinaryWeek
20;Tuesday;OrdinaryWeek
20;Wednesday;OrdinaryWeek
20;Thursday;OrdinaryWeek
20;Friday;OrdinaryWeekend
20;Saturday;OrdinaryWeekend
20;Sunday;OrdinaryWeek
21;Monday;OrdinaryWeek
21;Tuesday;OrdinaryWeek
21;Wednesday;OrdinaryWeek
21;Thursday;OrdinaryWeek
21;Friday;OrdinaryWeekend
21;Saturday;OrdinaryWeekend
21;Sunday;OrdinaryWeek
22;Monday;OrdinaryWeek
22;Tuesday;OrdinaryWeek
22;Wednesday;OrdinaryWeek
22;Thursday;OrdinaryWeek
22;Friday;OrdinaryWeekend
22;Saturday;OrdinaryWeekend
22;Sunday;OrdinaryWeek
