"KommunKod","AntalGiftaKvinnor","AntalGiftaMan","AntalOgiftaKvinnor","AntalOgiftaMan","AntalSkildaKvinnor","AntalSkildaMan","Ankor","Anklingar"
"2584",3602,3643,5654,7197,994,925,903,260
"01",351389,355876,577438,642084,133735,96711,58250,15956
"03",58075,58140,90701,101237,18211,14122,10496,3182
"04",49489,49741,64742,75441,16512,13251,11140,3396
"05",76084,76380,106508,125781,22285,17286,16471,4866
"06",64849,65080,79140,93851,14984,12291,13861,3781
"07",33949,34286,44357,53598,8539,6975,7528,2137
"08",41548,41940,53528,64528,11995,9982,11003,3155
"09",9285,9326,13879,15877,3247,2631,2425,721
"10",27461,27777,34422,43162,8186,6586,6711,1948
"12",225181,227189,308282,350204,76098,57502,45789,13382
"13",57807,58108,72118,83348,15901,12329,11697,3476
"14",276464,277686,400112,462131,90079,69233,56365,16612
"17",44360,44672,66107,77966,15135,12289,12052,3323
"18",47600,47767,70807,81562,16022,12917,11164,3173
"19",45035,45261,61110,72167,15408,12085,10157,3053
"20",45385,45764,66787,79793,15659,12671,11486,3483
"21",44054,44264,68718,80930,15865,12751,11644,3589
"22",39961,40196,58007,68801,12752,10464,10523,3193
"23",18071,18221,33525,39068,6336,5387,5259,1509
"24",42563,42668,66207,78136,11319,9287,10359,2839
"25",40909,41140,58347,72936,12414,10382,10628,2977
